ParcelID,Hem,Surface area (mm2),Centroid (MNI),Community,labels,x,y,z
48,L,124.8237,-17.2 -8.6 67.9,SMhand,L_SMhand,-17.2,-8.6,67.9
50,L,176.8134,-28.6 -44.7 61.7,SMhand,L_SMhand,-28.6,-44.7,61.7
54,L,93.9784,-54.1 -21.3 40.8,SMhand,L_SMhand,-54.1,-21.3,40.8
47,L,320.2733,-23.4 -13.8 64.2,SMhand,L_SMhand,-23.4,-13.8,64.2
215,R,95.0339,39.2 -34.6 57.5,SMhand,R_SMhand,39.2,-34.6,57.5
37,L,150.3635,-5.4 -15.9 48.8,SMhand,L_SMhand,-5.4,-15.9,48.8
202,R,140.6772,19.7 -25 65.2,SMhand,R_SMhand,19.7,-25,65.2
163,R,422.4615,20.8 -48.2 66.1,SMhand,R_SMhand,20.8,-48.2,66.1
190,R,372.7294,16.5 -32.8 67.7,SMhand,R_SMhand,16.5,-32.8,67.7
191,R,479.451,4.8 -27.1 64.8,SMhand,R_SMhand,4.8,-27.1,64.8
193,R,182.5813,11.9 -40.7 67,SMhand,R_SMhand,11.9,-40.7,67
194,R,63.6578,5.1 -17.1 51.6,SMhand,R_SMhand,5.1,-17.1,51.6
195,R,123.7458,6.8 -8.1 50.9,SMhand,R_SMhand,6.8,-8.1,50.9
201,R,358.5175,38.1 -22.4 60.3,SMhand,R_SMhand,38.1,-22.4,60.3
2,L,377.2543,-18.8 -48.7 65,SMhand,L_SMhand,-18.8,-48.7,65
204,R,69.6388,12.4 -28.3 69.6,SMhand,R_SMhand,12.4,-28.3,69.6
205,R,193.0225,29.2 -13.5 64.2,SMhand,R_SMhand,29.2,-13.5,64.2
206,R,81.8931,17 -16.9 70.9,SMhand,R_SMhand,17,-16.9,70.9
209,R,117.7734,29.5 -42.5 60.4,SMhand,R_SMhand,29.5,-42.5,60.4
210,R,42.8535,34.2 -40.6 51.6,SMhand,R_SMhand,34.2,-40.6,51.6
213,R,325.8075,39.6 -31.5 39.7,SMhand,R_SMhand,39.6,-31.5,39.7
214,R,221.7426,28 -34.8 63.1,SMhand,R_SMhand,28,-34.8,63.1
38,L,517.1534,-35.8 -29.7 54.5,SMhand,L_SMhand,-35.8,-29.7,54.5
216,R,550.1501,37.3 -25.9 50.9,SMhand,R_SMhand,37.3,-25.9,50.9
217,R,208.7083,48.7 -26.1 52.2,SMhand,R_SMhand,48.7,-26.1,52.2
207,R,144.0156,20.9 -6.4 65,SMhand,R_SMhand,20.9,-6.4,65
59,L,107.6144,-46.1 -17.8 52.7,SMmouth,L_SMmouth,-46.1,-17.8,52.7
164,R,303.2644,49.6 -7.4 36.1,SMmouth,R_SMmouth,49.6,-7.4,36.1
212,R,813.603,53.9 -8.3 26.1,SMmouth,R_SMmouth,53.9,-8.3,26.1
39,L,141.7105,-41.5 -12.5 50.4,SMmouth,L_SMmouth,-41.5,-12.5,50.4
197,R,225.414,42.3 -11 47.3,SMmouth,R_SMmouth,42.3,-11,47.3
53,L,854.7689,-51.5 -11.9 29.7,SMmouth,L_SMmouth,-51.5,-11.9,29.7
218,R,134.1968,47.8 -15.1 49.3,SMmouth,R_SMmouth,47.8,-15.1,49.3
3,L,437.1466,-51.8 -7.8 38.5,SMmouth,L_SMmouth,-51.8,-7.8,38.5
29,L,104.9029,-10 33.9 21.5,Salience,L_Salience,-10,33.9,21.5
183,R,103.7473,8.4 34.7 22.6,Salience,R_Salience,8.4,34.7,22.6
83,L,78.1451,-32.5 17.2 -7.8,Salience,L_Salience,-32.5,17.2,-7.8
247,R,109.4554,30.6 22.8 -4.7,Salience,R_Salience,30.6,22.8,-4.7
23,L,271.578,-3.8 12.1 64.6,VentralAttn,L_VentralAttn,-3.8,12.1,64.6
158,L,113.2882,-38.7 4.8 48.4,VentralAttn,L_VentralAttn,-38.7,4.8,48.4
75,L,231.0316,-50 20.8 10.6,VentralAttn,L_VentralAttn,-50,20.8,10.6
222,R,146.9686,60.9 -38.7 1.7,VentralAttn,R_VentralAttn,60.9,-38.7,1.7
161,L,94.8631,-80,VentralAttn,L_VentralAttn,-59,-18,-3
332,R,129.568,57.1 -6.3 -7.7,VentralAttn,R_VentralAttn,57.1,-6.3,-7.7
221,R,126.8352,57.5 -45.3 9,VentralAttn,R_VentralAttn,57.5,-45.3,9
226,R,134.841,57.1 -17 -2.6,VentralAttn,R_VentralAttn,57.1,-17,-2.6
228,R,82.9075,47.4 -39.6 13.2,VentralAttn,R_VentralAttn,47.4,-39.6,13.2
229,R,171.3249,45.5 -37.3 3.4,VentralAttn,R_VentralAttn,45.5,-37.3,3.4
231,R,186.7755,48.5 -26.5 -0.1,VentralAttn,R_VentralAttn,48.5,-26.5,-0.1
86,L,110.6818,-45.4 28.8 0.8,VentralAttn,L_VentralAttn,-45.4,28.8,0.8
85,L,119.4697,-44.3 33.2 -7.2,VentralAttn,L_VentralAttn,-44.3,33.2,-7.2
237,R,121.2342,52.5 23.7 10.3,VentralAttn,R_VentralAttn,52.5,23.7,10.3
80,L,558.2962,-29.1 20.5 -14,VentralAttn,L_VentralAttn,-29.1,20.5,-14
79,L,139.1158,-47.2 39 -9.1,VentralAttn,L_VentralAttn,-47.2,39,-9.1
333,R,66.6635,46.6 -21.5 -8.5,VentralAttn,R_VentralAttn,46.6,-21.5,-8.5
242,R,268.7343,45.2 30.7 -5.6,VentralAttn,R_VentralAttn,45.2,30.7,-5.6
243,R,272.1276,27.4 19.7 -14.9,VentralAttn,R_VentralAttn,27.4,19.7,-14.9
62,L,1211.1713,-48.1 -40 2.4,VentralAttn,L_VentralAttn,-48.1,-40,2.4
61,L,72.0454,-51.6 -55.9 11.4,VentralAttn,L_VentralAttn,-51.6,-55.9,11.4
60,L,51.2597,-44.8 -54 14.6,VentralAttn,L_VentralAttn,-44.8,-54,14.6
